zenodo-rdm-qa,pgbouncer-6ddf4bbf54-jl64z,pgbouncer,1,40Mi,1,512Mi
zenodo-rdm-qa,pgbouncer-6ddf4bbf54-jl64z,exporter,0.03,40Mi,0.25,150Mi
zenodo-rdm-qa,prometheus-server-7bd8bc4558-ffpq8,prometheus-server,0.5,512Mi,0.5,512Mi
zenodo-rdm-qa,terminal-5d4b4764c8-9xpp7,terminal,0.1,800Mi,4,6Gi
zenodo-rdm-qa,terminal-5d4b4764c8-9xpp7,kerberos-credentials,0.02,256Mi,1,512Mi
zenodo-rdm-qa,terminal-5d4b4764c8-9xpp7,init-kerberos-credentials,0.02,256Mi,1,512Mi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,web,0.2,1536Mi,3,4Gi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,nginx,0.02,50Mi,2,100Mi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,filebeat,0.1,100Mi,1,200Mi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,copy-web-assets,0.01,100Mi,1,100Mi
zenodo-rdm-qa,web-56c48cf7cc-pjdrj,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-jk8tf,worker,1,800Mi,4,2Gi
zenodo-rdm-qa,worker-5b77c7d888-jk8tf,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-jk8tf,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-wftc9,worker,1,800Mi,4,2Gi
zenodo-rdm-qa,worker-5b77c7d888-wftc9,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-wftc9,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-zs9jx,worker,1,800Mi,4,2Gi
zenodo-rdm-qa,worker-5b77c7d888-zs9jx,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-5b77c7d888-zs9jx,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-beat-6566bfd45c-cjs98,worker-beat,0.5,500Mi,1,1Gi
zenodo-rdm-qa,worker-beat-custom-c75f6d85c-wtmpp,worker-beat-custom,0.5,500Mi,1,1Gi
zenodo-rdm-qa,worker-low-5968558bb5-g4zwc,worker-low,1,800Mi,4,2Gi
zenodo-rdm-qa,worker-low-5968558bb5-g4zwc,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-low-5968558bb5-g4zwc,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-spam-65656747cf-mtf8v,worker-spam,1,800Mi,4,2Gi
zenodo-rdm-qa,worker-spam-65656747cf-mtf8v,kerberos-credentials,0.01,2Mi,0.1,20Mi
zenodo-rdm-qa,worker-spam-65656747cf-mtf8v,init-kerberos-credentials,0.01,2Mi,0.1,20Mi
